,orig.ident,nCount_RNA,nFeature_RNA
cy72_CD45_pos_D12_S912_comb,cy72,69056,3402
CY89A_CD45_POS_6_G12_S180_comb,CY89A,123050,3104
cy60_1_cd_45_pos_4_G09_S81_comb,cy60,95230,3162
cy58_1_CD45_pos_C05_S605_comb,cy58,69412,3310
cy94_cd45pos_4_C08_S32_comb,cy94,192118,4808
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_C10_S514_comb,cy79,74775,3431
cy80_CD45_neg_E01_S433_comb,cy80,267220,4511
cy80_CD_90_pos_E05_S917_comb,cy80,164671,8383
cy94_cd45pos_D11_S143_comb,cy94,653958,6979
CY89A_Core_15_F06_S66_comb,CY89A,104171,4363
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_B11_S983_comb,cy60,61114,2639
Cy72_CD45_E09_S729_comb,Cy72,206589,3417
cy72_CD45_pos_G04_S940_comb,cy72,114020,3728
cy72_CD45_pos_E02_S914_comb,cy72,146063,3912
cy79_p3_CD45_pos_PD1_neg_C10_S130_comb,cy79,299085,3860
cy60_1_cd_45_pos_3_D02_S326_comb,cy60,101634,3385
cy79_p3_CD45_pos_PD1_neg_F08_S164_comb,cy79,72366,2976
CY94CD45POS_1_C06_S126_comb,CY94CD45POS,137124,4037
CY88CD45POS_2_H10_S478_comb,CY88CD45POS,157944,2163
cy88_cd_45_pos_F05_S449_comb,cy88,93051,3252
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_B10_S502_comb,cy79,31843,2659
Cy81_FNA_CD45_F12_S264_comb,Cy81,293358,2637
cy94_cd45pos_F11_S167_comb,cy94,481512,5130
CY89A_CD45_POS_6_F07_S163_comb,CY89A,116642,2904
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_C08_S512_comb,cy79,33147,2620
CY94CD45POS_1_A10_S106_comb,CY94CD45POS,30985,1935
CY89A_CD45_POS_6_D01_S133_comb,CY89A,45346,2246
cy84_Primary_CD45_pos_D02_S422_comb,cy84,108121,3332
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_E05_S533_comb,cy79,16837,2355
CY89A_CD45_POS_6_C12_S132_comb,CY89A,116511,2659
cy84_Primary_CD45_pos_A03_S387_comb,cy84,190770,4041
CY89A_CD45_POS_6_D08_S140_comb,CY89A,55553,2426
cy84_Primary_CD45_pos_C09_S417_comb,cy84,101019,3334
CY94CD45POS_1_E05_S149_comb,CY94CD45POS,280066,4024
cy80_CD45_neg_H01_S469_comb,cy80,98766,3831
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G11_S563_comb,cy79,46794,3109
cy82_CD45_pos_3_G11_S83_comb,cy82,13982,2309
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_E02_S1010_comb,cy60,81837,3007
Cy74_CD45_B02_S398_comb,Cy74,92632,2275
CY89A_Core_15_A04_S4_comb,CY89A,42428,2406
cy60_1_cd_45_pos_3_B02_S302_comb,cy60,88586,2989
cy84_Primary_CD45_pos_B05_S401_comb,cy84,21362,1908
CY94CD45POS_1_F09_S165_comb,CY94CD45POS,79760,2892
cy84_Primary_CD45_pos_E10_S442_comb,cy84,263614,4422
cy80_Cd45_pos_Pd1_neg_S372_H12_S372_comb,cy80,890494,11887
CY94CD45POS_1_H04_S184_comb,CY94CD45POS,326796,5204
cy94_cd45neg_cd90pos_E04_S340_comb,cy94,424331,4849
CY94CD45POS_1_H06_S186_comb,CY94CD45POS,231978,5721
cy94_cd45pos_4_G03_S75_comb,cy94,903263,4819
CY89A_Core_15_C03_S27_comb,CY89A,42278,2175
cy82_CD45_neg_3_C08_S800_comb,cy82,337671,2146
cy79_p3_CD45_pos_PD1_neg_E10_S154_comb,cy79,14629,1851
CY94CD45POS_1_E10_S154_comb,CY94CD45POS,127265,3889
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_A08_S968_comb,cy60,100480,3514
CY94CD45POS_1_A04_S100_comb,CY94CD45POS,31351,1997
CY88CD45_150813_B11_S311_comb,CY88CD45,237016,3918
CY94CD45POS_1_D06_S138_comb,CY94CD45POS,631886,6978
cy60_1_cd_45_pos_4_H12_S96_comb,cy60,75553,2837
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_F03_S543_comb,cy79,26588,2915
cy94_cd45neg_cd90pos_A07_S295_comb,cy94,183598,4401
cy60_1_cd_45_pos_4_A04_S4_comb,cy60,64867,2743
cy60_1_cd_45_pos_3_G10_S370_comb,cy60,137265,3462
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_D05_S1001_comb,cy60,52680,2297
cy80_CD45_neg_B04_S400_comb,cy80,106150,3544
cy94_cd45neg_cd90pos_D12_S336_comb,cy94,65987,4164
CY94CD45POS_1_G08_S176_comb,CY94CD45POS,360166,4947
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_G07_S1039_comb,cy60,112303,2689
cy94_cd45neg_cd90pos_D11_S335_comb,cy94,508440,8064
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_E12_S540_comb,cy79,24056,2922
cy79_p4_CD45_pos_PD1_pos_C08_S320_comb,cy79,122506,4755
cy94_cd45neg_cd90pos_H09_S381_comb,cy94,176073,4274
CY94CD45POS_1_B01_S109_comb,CY94CD45POS,465025,7672
cy94_cd45neg_cd90pos_A06_S294_comb,cy94,108109,2563
cy94_cd45pos_4_H06_S90_comb,cy94,890710,6319
cy80_cd_90_neg_H12_S192_comb,cy80,175987,3710
cy94_cd45pos_4_B09_S21_comb,cy94,58888,2464
cy88_cd_45_pos_H12_S480_comb,cy88,418132,12502
CY89A_CD45_POS_6_A10_S106_comb,CY89A,92965,2759
cy82_CD45_pos_3_D04_S40_comb,cy82,254571,3502
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_E03_S531_comb,cy79,13974,2302
cy94_cd45neg_cd90pos_H03_S375_comb,cy94,144203,3949
cy94_cd45pos_F12_S168_comb,cy94,280242,3437
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_H10_S1054_comb,cy60,134659,1985
CY89COREQ1_G06_S366_comb,CY89COREQ1,60176,2990
cy79_p3_CD45_pos_PD1_neg_A04_S100_comb,cy79,182131,3417
CY89A_Core_15_D06_S42_comb,CY89A,44266,2438
cy60_1_cd_45_pos_4_B02_S14_comb,cy60,55530,3433
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_C05_S509_comb,cy79,57513,3331
cy94_cd45pos_4_H11_S95_comb,cy94,580949,4618
cy78_CD45_neg_2_A08_S584_comb,cy78,12008,2002
cy72_CD45_pos_C10_S898_comb,cy72,146264,3975
cy84_Primary_CD45_pos_D08_S428_comb,cy84,46589,2726
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_H07_S1051_comb,cy60,86528,2960
cy94_cd45neg_cd90pos_H02_S374_comb,cy94,1464100,5090
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_C07_S511_comb,cy79,31418,2391
CY88CD45POS_2_G07_S463_comb,CY88CD45POS,755449,4054
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_H09_S573_comb,cy79,55386,3350
cy94_cd45neg_cd90pos_B08_S308_comb,cy94,354722,4654
cy60_1_cd_45_pos_3_E06_S342_comb,cy60,164412,3495
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_B12_S984_comb,cy60,39714,2060
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_F10_S550_comb,cy79,15158,2108
cy94_cd45pos_A07_S103_comb,cy94,184182,3587
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_E03_S1011_comb,cy60,105700,3110
cy88_cd45pos_5_G04_S268_comb,cy88,303702,2321
cy72_CD45_pos_C05_S893_comb,cy72,130125,3861
Cy72_CD45_A04_S676_comb,Cy72,249863,3117
CY89COREQ1_G10_S370_comb,CY89COREQ1,78560,3216
cy72_CD45_pos_A02_S866_comb,cy72,55083,2830
cy79_p3_CD45_pos_PD1_neg_G11_S179_comb,cy79,305483,4117
cy94_cd45pos_4_C03_S27_comb,cy94,84305,2830
CY89COREQ1_H10_S382_comb,CY89COREQ1,24649,1919
cy82_CD45_neg_2_E02_S242_comb,cy82,312111,6275
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_B07_S499_comb,cy79,49576,2580
cy94_cd45pos_4_C04_S28_comb,cy94,22597,2099
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_E02_S530_comb,cy79,22256,2673
cy94_cd45pos_B12_S120_comb,cy94,354238,3843
cy84_Met_CD45_pos_H04_S952_comb,cy84,67660,1962
cy58_1_CD45_pos_C01_S601_comb,cy58,113541,3530
CY94CD45POS_1_F07_S163_comb,CY94CD45POS,20179,2403
CY94CD45POS_1_F04_S160_comb,CY94CD45POS,648052,6711
cy80_CD45_neg_F11_S455_comb,cy80,101633,3666
CY88CD45_150813_D07_S331_comb,CY88CD45,851221,6923
CY88CD45POS_7_E03_S243_comb,CY88CD45POS,661784,4883
cy79_p5_CD45_neg_PDL1_pos_G09_S753_comb,cy79,144555,3502
cy94_cd45pos_4_H05_S89_comb,cy94,192482,4544
cy94_cd45pos_B02_S110_comb,cy94,489884,4560
Cy74_CD45_H07_S475_comb,Cy74,75282,2333
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_G04_S1036_comb,cy60,105534,2106
Cy72_CD45_D05_S713_comb,Cy72,252993,3817
cy80_Cd45_pos_PD1_pos_S119_E11_S119_comb,cy80,129566,4311
cy94_cd45neg_cd90pos_C05_S317_comb,cy94,134435,3630
Cy72_CD45_F06_S738_comb,Cy72,121104,3560
cy84_Primary_CD45_pos_H06_S474_comb,cy84,345971,4931
cy94_cd45pos_B01_S109_comb,cy94,310888,3856
cy94_cd45pos_4_D12_S48_comb,cy94,939650,5270
cy94_cd45pos_F09_S165_comb,cy94,172899,3687
CY89COREQ1_E03_S339_comb,CY89COREQ1,92647,3172
cy74_CD45_pos_C12_S708_comb,cy74,36371,3143
cy79_p3_CD45_pos_PD1_neg_G07_S175_comb,cy79,183835,3427
cy80_Cd45_pos_Pd1_neg_S223_B07_S223_comb,cy80,58572,3644
cy60_1_cd_45_pos_4_B03_S15_comb,cy60,59736,3017
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G01_S553_comb,cy79,34283,2756
cy79_p3_CD45_pos_PD1_neg_G04_S172_comb,cy79,406293,4944
cy94_cd45pos_4_B04_S16_comb,cy94,25976,2226
cy80_CD_90_pos_C02_S890_comb,cy80,232739,8631
CY89COREQ1_C08_S320_comb,CY89COREQ1,116584,3421
cy60_1_cd_45_pos_4_D02_S38_comb,cy60,49220,2666
CY89A_CD45_POS_6_G01_S169_comb,CY89A,59196,2712
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_H06_S570_comb,cy79,49633,2816
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_F04_S544_comb,cy79,16941,2034
CY89A_CD45_POS_6_B09_S117_comb,CY89A,104569,2794
CY89A_Core_15_B10_S22_comb,CY89A,63840,2554
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_E11_S1019_comb,cy60,83153,2866
cy80_Cd45_pos_Pd1_neg_S219_B03_S219_comb,cy80,95383,3989
cy80_Cd45_pos_Pd1_neg_S227_B11_S227_comb,cy80,207958,4134
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G04_S556_comb,cy79,59834,3646
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_F03_S1023_comb,cy60,44684,2028
CY89A_Core_15_E04_S52_comb,CY89A,77578,4295
CY89A_Core_15_H11_S95_comb,CY89A,49829,2171
cy72_CD45_pos_G07_S943_comb,cy72,127014,3740
cy79_p3_CD45_pos_PD1_neg_C05_S125_comb,cy79,135824,3463
CY89FNA_F03_S255_comb,CY89FNA,57141,1994
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_F02_S1022_comb,cy60,55677,2731
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_D10_S1006_comb,cy60,58710,3086
cy94_cd45pos_4_G02_S74_comb,cy94,451654,6025
cy84_Primary_CD45_pos_B02_S398_comb,cy84,116436,4161
cy94_cd45pos_4_G04_S76_comb,cy94,205520,3950
cy94_cd45neg_cd90pos_B07_S307_comb,cy94,74600,2619
cy84_Primary_CD45_pos_E07_S439_comb,cy84,164961,3347
cy79_p3_CD45_pos_PD1_neg_G05_S173_comb,cy79,142226,4058
cy80_Cd45_pos_Pd1_neg_S338_G02_S338_comb,cy80,16666,2340
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_H05_S1049_comb,cy60,33922,3299
CY89A_Core_15_A03_S3_comb,CY89A,86103,3505
CY94CD45POS_1_E08_S152_comb,CY94CD45POS,205912,3899
Cy80_II_CD45_H03_S951_comb,Cy80,32239,2695
Cy72_CD45_H05_S761_comb,Cy72,235057,3037
cy84_Primary_CD45_pos_G11_S467_comb,cy84,139976,3116
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_E08_S1016_comb,cy60,73014,2371
cy80_Cd45_pos_PD1_pos_C08_S68_comb,cy80,212244,6187
cy60_1_cd_45_pos_3_F10_S358_comb,cy60,43970,2273
CY89A_CD45_POS_6_D07_S139_comb,CY89A,142478,3130
cy80_Cd45_pos_Pd1_neg_S247_C07_S247_comb,cy80,89626,3716
cy80_CD_90_pos_A02_S866_comb,cy80,322825,7387
cy88_cd45pos_5_E02_S242_comb,cy88,116959,3281
cy60_1_cd_45_pos_4_H01_S85_comb,cy60,92481,3102
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_G12_S1044_comb,cy60,58687,1923
cy84_Met_CD45_pos_H05_S953_comb,cy84,60684,2225
CY94CD45POS_1_G12_S180_comb,CY94CD45POS,415592,4158
CY89A_Core_15_A10_S10_comb,CY89A,44425,2681
CY89A_Core_15_D02_S38_comb,CY89A,139490,2936
cy79_p3_CD45_pos_PD1_neg_G12_S180_comb,cy79,212859,3428
CY88CD45POS_7_G03_S267_comb,CY88CD45POS,464512,4553
cy80_cd_90_neg_H04_S184_comb,cy80,178159,3456
cy60_1_cd_45_pos_3_G06_S366_comb,cy60,130647,4861
CY94CD45POS_1_H03_S183_comb,CY94CD45POS,257716,3946
CY88CD45POS_7_C05_S221_comb,CY88CD45POS,481878,5223
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_B06_S978_comb,cy60,59061,2801
cy60_1_cd_45_pos_3_H07_S379_comb,cy60,94389,3061
CY89A_CD45_POS_6_B05_S113_comb,CY89A,120245,3112
cy60_1_cd_45_pos_3_E04_S340_comb,cy60,96665,3306
CY89COREQ1_G09_S369_comb,CY89COREQ1,41063,2465
CY89COREQ1_F08_S356_comb,CY89COREQ1,134911,4077
cy94_cd45neg_cd90pos_H07_S379_comb,cy94,117900,4404
CY89A_Core_15_D07_S43_comb,CY89A,67340,2802
CY89A_CD45_POS_6_G08_S176_comb,CY89A,72434,2584
CY94CD45POS_1_D03_S135_comb,CY94CD45POS,533820,4557
cy94_cd45pos_C09_S129_comb,cy94,366289,4063
cy94_cd45pos_4_H12_S96_comb,cy94,1043703,7075
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G07_S559_comb,cy79,64109,3154
cy88_cd45pos_5_D03_S231_comb,cy88,1559830,5419
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_B07_S979_comb,cy60,73892,2725
CY89A_CD45_POS_6_A09_S105_comb,CY89A,50300,2207
cy80_CD_90_pos_C07_S895_comb,cy80,56506,2256
cy80_CD_90_pos_H08_S956_comb,cy80,8787,3381
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_H12_S576_comb,cy79,239848,11324
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_F07_S1027_comb,cy60,68195,2418
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_F08_S548_comb,cy79,21189,2332
CY89COREQ1_C01_S313_comb,CY89COREQ1,181251,3658
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C03_S987_comb,cy60,56013,2594
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_A04_S964_comb,cy60,98924,2899
CY89COREQ1_C07_S319_comb,CY89COREQ1,56330,2804
cy79_p3_CD45_pos_PD1_neg_F05_S161_comb,cy79,122276,3122
cy60_1_cd_45_pos_4_A11_S11_comb,cy60,68748,3102
cy80_Cd45_pos_Pd1_neg_S296_E08_S296_comb,cy80,61421,3626
cy94_cd45pos_D01_S133_comb,cy94,1217964,8884
cy102_CD45pos_S101,cy102,699208,4714
cy102_CD45pos_S105,cy102,366508,5071
cy112_CD45pos_S317,cy112,993129,4315
cy102_CD45pos_S103,cy102,1253259,7683
cy112_CD45pos_S355,cy112,1333136,5117
cy102_CD45pos_S121,cy102,663420,4627
cy112_CD45pos_S289,cy112,2102932,6684
cy110_CD45pos_S225,cy110,399342,6058
cy112_CD45pos_S295,cy112,816780,5612
cy102_CD45pos_S185,cy102,1144318,6822
cy102_CD45pos_S186,cy102,768970,4761
cy112_CD45pos_S291,cy112,1637117,5376
cy110_CD45pos_S279,cy110,238371,4369
cy102_CD45pos_S102,cy102,619861,4261
cy112_CD45pos_S357,cy112,1375540,5020
cy102_CD45pos_S160,cy102,410262,5640
cy112_CD45pos_S379,cy112,2217961,5516
cy112_CD45pos_S378,cy112,2321765,4696
cy112_CD45pos_S315,cy112,1561182,4806
cy112_CD45pos_S347,cy112,909463,4643
cy102_CD45pos_S145,cy102,423944,4471
cy105_CD45pos_S285,cy105,270019,3774
cy103_CD45pos_S113,cy103,502597,5108
cy103_CD45pos_S138,cy103,518430,4546
cy106_CD45pos_S296,cy106,434763,4065
cy103_CD45pos_S118,cy103,583453,5679
cy103_CD45pos_S188,cy103,356214,3912
cy105_CD45pos_S196,cy105,169162,3823
cy103_CD45pos_S106,cy103,452699,4620
cy103_CD45pos_S152,cy103,397238,4298
cy105_CD45pos_S206,cy105,373915,4451
cy106_CD45pos_S371,cy106,1034214,4520
cy106_CD45pos_S291,cy106,1054544,4748
cy103_CD45pos_S122,cy103,579715,4789
cy105_CD45pos_S277,cy105,370708,4250
cy103_CD45pos_S139,cy103,546773,5464
cy103_CD45pos_S149,cy103,404744,4012
cy105_CD45pos_S261,cy105,765768,4410
cy105_CD45pos_S220,cy105,625437,4788
cy103_CD45pos_S144,cy103,241028,3525
cy106_CD45pos_S317,cy106,1208325,4728
cy103_CD45pos_S170,cy103,356611,5224
cy106_CD45pos_S358,cy106,1039653,4446
cy105_CD45pos_S244,cy105,413411,4233
cy103_CD45pos_S167,cy103,413262,4873
cy103_CD45pos_S133,cy103,667300,4682
cy105_CD45pos_S225,cy105,783149,4477
cy103_CD45pos_S128,cy103,377392,4288
cy105_CD45pos_S231,cy105,601768,3938
cy106_CD45pos_S355,cy106,781643,4277
cy106_CD45pos_S379,cy106,560557,3703
cy103_CD45pos_S145,cy103,263372,4085
cy105_CD45pos_S218,cy105,304513,4254
cy105_CD45pos_S242,cy105,423699,4197
cy105_CD45pos_S247,cy105,1077525,4313
cy103_CD45pos_S151,cy103,698532,5341
cy106_CD45pos_S330,cy106,699543,4409
cy103_CD45pos_S100,cy103,269788,3927
cy105_CD45pos_S276,cy105,731758,5100
cy106_CD45pos_S343,cy106,640709,3984
cy105_CD45pos_S281,cy105,372524,3917
cy106_CD45pos_S312,cy106,533234,4284
cy106_CD45pos_S345,cy106,1056298,4566
cy103_CD45pos_S127,cy103,890302,6641
cy103_CD45pos_S183,cy103,444614,4792
cy103_CD45pos_S135,cy103,405039,4331
cy103_CD45pos_S168,cy103,354352,6443
cy106_CD45pos_S363,cy106,601155,4252
cy106_CD45pos_S307,cy106,994950,4646
cy103_CD45pos_S163,cy103,484802,4466
cy106_CD45pos_S347,cy106,932581,4241
cy105_CD45pos_S213,cy105,358946,4239
cy103_CD45pos_S189,cy103,671719,5469
cy105_CD45pos_S264,cy105,501674,3600
cy103_CD45pos_S157,cy103,305925,4014
cy103_CD45pos_S117,cy103,490887,5096
cy103_CD45neg_CD90neg_S109,cy103,666211,6038
cy103_CD45neg_CD90neg_S186,cy103,598906,4341
cy75_1B_CORE_CD45neg_S146,cy75,1677519,7416
cy75_1B_CORE_CD45neg_S190,cy75,776471,5910
cy75_1B_CORE_CD45neg_S158,cy75,1361065,7191
cy75_1B_CORE_CD45neg_S187,cy75,1283497,1936
cy75_1B_CORE_CD45neg_S177,cy75,1690585,9077
cy75_1B_CORE_CD45neg_S156,cy75,1696878,7268
cy75_1B_CORE_CD45neg_S167,cy75,1670131,7205
cy75_1B_CORE_CD45neg_S103,cy75,1431179,6861
cy75_1B_CORE_CD45neg_S113,cy75,1369466,6844
cy75_1B_CORE_CD45neg_S109,cy75,1445734,7131
cy75_1B_CORE_CD45neg_S110,cy75,1594763,6616
cy75_1B_CORE_CD45neg_S142,cy75,360124,6201
cy75_1B_CORE_CD45neg_S135,cy75,222666,5105
cy75_1B_CORE_CD45neg_S130,cy75,1605303,7471
cy75_1B_CORE_CD45neg_S171,cy75,1685336,7515
cy75_1B_CORE_CD45neg_S104,cy75,1230124,6805
cy75_1B_CORE_CD45neg_S164,cy75,1295812,6863
cy75_1B_CORE_CD45neg_S152,cy75,1870228,7662
cy75_1B_CORE_CD45neg_S170,cy75,1453012,9801
cy75_1B_CORE_CD45neg_S151,cy75,1761552,7130
cy75_1B_CORE_CD45neg_S168,cy75,1375864,5761
cy75_1B_CORE_CD45neg_S139,cy75,671518,7747
cy75_1B_CORE_CD45neg_S149,cy75,1347844,6883
cy75_1B_CORE_CD45neg_S132,cy75,1471488,6666
cy75_1B_CORE_CD45neg_S124,cy75,1550631,7420
cy75_1B_CORE_CD45neg_S108,cy75,852766,6379
cy75_1B_CORE_CD45neg_S107,cy75,1169204,6649
cy75_1B_CORE_CD45neg_S119,cy75,1545947,7179
cy98_CD45neg_CD90neg_S48,cy98,33474,4443
cy116_CD45pos_S308,cy116,153804,3313
cy116_CD45pos_S336,cy116,504271,3980
cy116_CD45pos_S365,cy116,493769,4020
cy98_CD45neg_CD90neg_S39,cy98,496890,5363
cy105_Zombineg_CD45neg_CD90neg_S103,cy105,577190,4314
cy116_CD45pos_S374,cy116,261288,3127
cy116_CD45pos_S362,cy116,221718,4313
cy116_CD45pos_S309,cy116,556466,5088
cy116_CD45pos_S313,cy116,639411,4595
cy116_CD45pos_S327,cy116,233626,3269
cy116_CD45pos_S340,cy116,357993,3662
cy116_CD45pos_S303,cy116,439301,3863
cy105_Zombineg_CD45neg_CD90neg_S182,cy105,318177,2320
cy116_CD45pos_S297,cy116,354494,4296
cy116_CD45pos_S304,cy116,386670,3822
cy116_CD45pos_S370,cy116,378213,3894
cy116_CD45pos_S316,cy116,261462,3861
cy116_CD45pos_S320,cy116,360275,3695
cy102_CD45pos_S196,cy102,37052,2777
cy112_CD45pos_S7,cy112,1653740,3907
cy112_CD45pos_S41,cy112,1568741,4105
cy102_CD45pos_S249,cy102,375367,4145
cy112_CD45pos_S88,cy112,1518187,3736
cy112_CD45pos_S27,cy112,2183513,3242
cy102_CD45pos_S244,cy102,868195,5124
cy112_CD45pos_S35,cy112,802883,4188
cy102_CD45pos_S200,cy102,305848,4375
cy112_CD45pos_S31,cy112,1555305,4069
cy112_CD45pos_S47,cy112,867636,4027
cy112_CD45pos_S40,cy112,1684274,4027
cy102_CD45pos_S238,cy102,388812,4281
cy112_CD45pos_S39,cy112,2141005,3521
cy112_CD45pos_S14,cy112,3381835,3579
cy102_CD45pos_S283,cy102,372183,3853
cy102_CD45pos_S252,cy102,262795,4073
cy112_CD45pos_S58,cy112,1619425,4407
cy112_CD45pos_S15,cy112,3041509,3800
cy102_CD45pos_S214,cy102,321898,3810
cy102_CD45pos_S197,cy102,91795,3730
cy112_CD45pos_S75,cy112,2356944,3611
cy112_CD45pos_S90,cy112,1495024,4387
cy112_CD45pos_S57,cy112,1139542,4628
cy112_CD45pos_S67,cy112,1550286,3967
cy112_CD45pos_S28,cy112,1682510,4208
cy102_CD45pos_S229,cy102,554436,4078
cy112_CD45pos_S70,cy112,1758427,4611
cy102_CD45pos_S269,cy102,26813,2001
cy112_CD45pos_S23,cy112,1492186,4640
cy112_CD45pos_S16,cy112,1933368,4524
cy102_CD45pos_S227,cy102,132772,3775
cy112_CD45pos_S64,cy112,1326027,3507
cy102_CD45pos_S258,cy102,305486,3376
cy112_CD45pos_S1,cy112,3315657,5873
cy102_CD45pos_S231,cy102,382734,4000
cy106_CD45pos_S277,cy106,1054635,4015
cy106_CD45pos_S199,cy106,630328,3604
cy105_CD45pos_calceinpos_S20,cy105,19004,1893
cy106_CD45pos_S220,cy106,1135106,4543
cy106_CD45pos_S239,cy106,795888,4207
cy105_CD45pos_calceinpos_S94,cy105,73192,1951
cy106_CD45pos_S227,cy106,875416,2937
cy105_CD45pos_calceinpos_S88,cy105,683670,4278
cy106_CD45pos_S194,cy106,934650,3771
cy106_CD45pos_S213,cy106,762168,3809
cy105_CD45pos_calceinpos_S41,cy105,529713,3848
cy106_CD45pos_S237,cy106,663157,3596
cy106_CD45pos_S234,cy106,792860,3292
cy105_CD45neg_calceinpos_S190,cy105,116319,1646
cy105_CD45pos_calceinpos_S92,cy105,164388,2742
cy105_CD45pos_calceinpos_S84,cy105,228631,3249
cy105_CD45pos_calceinpos_S8,cy105,65086,2420
cy105_CD45pos_calceinpos_S28,cy105,696673,3983
cy105_CD45pos_calceinpos_S38,cy105,396227,3986
cy105_CD45pos_calceinpos_S91,cy105,464112,3790
cy106_CD45pos_S283,cy106,840726,4067
cy106_CD45pos_S254,cy106,795317,4371
cy106_CD45pos_S273,cy106,838459,4125
cy106_CD45pos_S222,cy106,951259,4038
cy106_CD45pos_S210,cy106,855822,4102
cy106_CD45pos_S235,cy106,621523,3517
cy106_CD45pos_S208,cy106,1410941,3735
cy106_CD45pos_S230,cy106,838841,3626
cy105_CD45pos_calceinpos_S50,cy105,506821,3957
cy106_CD45pos_S262,cy106,54712,2168
cy106_CD45pos_S250,cy106,704292,3625
cy105_CD45pos_calceinpos_S83,cy105,628993,4308
cy98_CD45pos_1_S231,cy98,593510,3976
cy98_CD45pos_2_S347,cy98,190074,2757
cy98_CD45pos_2_S362,cy98,191432,3345
cy98_CD45pos_1_S201,cy98,542769,4025
cy98_CD45pos_1_S236,cy98,553606,3156
cy98_CD45pos_1_S208,cy98,1212666,4470
cy98_CD45pos_2_S313,cy98,633617,3528
cy98_CD45pos_2_S300,cy98,458827,4613
cy98_CD45pos_2_S372,cy98,313091,3736
cy98_CD45pos_2_S359,cy98,300183,3288
cy103_CD45pos_S225,cy103,837709,4731
cy103_CD45pos_S282,cy103,90629,3186
cy103_CD45pos_S224,cy103,425073,4072
cy103_CD45pos_S247,cy103,484427,4294
cy103_CD45pos_S278,cy103,403812,5504
cy103_CD45pos_S204,cy103,553009,4618
cy103_CD45pos_S268,cy103,100660,3255
cy103_CD45neg_CD90neg_S27,cy103,463792,3447
cy103_CD45pos_S260,cy103,249162,3406
cy103_CD45pos_S199,cy103,351349,3876
cy103_CD45pos_S230,cy103,362877,4357
cy103_CD45pos_S251,cy103,1130028,5300
cy110_CD45pos_S314,cy110,939448,4358
cy103_CD45pos_S231,cy103,685880,4356
cy103_CD45pos_S218,cy103,457595,4787
cy103_CD45pos_S233,cy103,418229,5463
cy103_CD45pos_S234,cy103,554010,6110
cy103_CD45pos_S217,cy103,310304,3764
cy103_CD45pos_S205,cy103,272140,3681
cy103_CD45pos_S246,cy103,179213,3084
cy103_CD45pos_S236,cy103,571900,4388
cy103_CD45pos_S197,cy103,161625,3801
cy103_CD45pos_S277,cy103,273208,3884
cy103_CD45pos_S256,cy103,169151,3057
cy103_CD45pos_S200,cy103,295954,3998
cy103_CD45pos_S254,cy103,227090,3410
cy103_CD45pos_S262,cy103,447446,4815
cy103_CD45pos_S201,cy103,410419,4101
cy103_CD45pos_S257,cy103,123141,5339
cy103_CD45pos_S221,cy103,454338,4439
