,orig.ident,nCount_RNA,nFeature_RNA
cy84_Primary_CD45_pos_H08_S476_comb,cy84,370552,5637
cy84_Met_CD45_pos_H10_S958_comb,cy84,61364,2500
CY94CD45POS_1_D08_S140_comb,CY94CD45POS,365588,6065
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G02_S554_comb,cy79,46108,3046
CY89A_CD45_POS_6_D06_S138_comb,CY89A,155461,3316
cy53_1_CD45_neg_C01_S313_comb,cy53,354162,7411
CY89A_CD45_POS_6_F05_S161_comb,CY89A,122249,3051
cy80_CD_90_pos_C11_S899_comb,cy80,179717,5515
cy79_p3_CD45_pos_PD1_neg_C06_S126_comb,cy79,14803,1931
cy80_CD_90_pos_C04_S892_comb,cy80,161796,4418
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_F04_S1024_comb,cy60,76716,2656
CY89A_Core_15_F05_S65_comb,CY89A,19756,1899
cy74_CD45_pos_F02_S734_comb,cy74,39967,2284
CY94CD45POS_1_F08_S164_comb,CY94CD45POS,108532,3278
Cy74_CD45_B08_S404_comb,Cy74,138818,2158
cy60_1_cd_45_pos_3_B12_S312_comb,cy60,53996,2719
cy94_cd45pos_C11_S131_comb,cy94,1179458,5672
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_E04_S1012_comb,cy60,70201,2634
cy80_Cd45_pos_Pd1_neg_S248_C08_S248_comb,cy80,172071,4517
cy84_Primary_CD45_pos_E06_S438_comb,cy84,218412,3560
cy80_CD_90_pos_B04_S880_comb,cy80,137997,8045
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_B10_S982_comb,cy60,47631,1957
cy80_Cd45_pos_PD1_pos_A02_S14_comb,cy80,55749,3486
CY89A_CD45_POS_10_A11_S203_comb,CY89A,100831,2591
cy60_1_cd_45_pos_4_G02_S74_comb,cy60,70952,2880
cy94_cd45neg_cd90pos_B12_S312_comb,cy94,70171,2406
Cy72_CD45_G09_S753_comb,Cy72,153408,3272
cy60_1_cd_45_pos_4_D12_S48_comb,cy60,35584,2312
cy80_CD45_neg_F12_S456_comb,cy80,253746,10548
cy80_CD45_neg_D02_S422_comb,cy80,80307,2508
CY88CD45POS_7_F05_S257_comb,CY88CD45POS,300874,4882
cy84_Primary_CD45_neg_G03_S1035_comb,cy84,859859,6871
cy82_CD45_pos_1_B12_S504_comb,cy82,280993,3446
cy94_cd45pos_C08_S128_comb,cy94,152391,3165
cy80_Cd45_pos_Pd1_neg_S222_B06_S222_comb,cy80,64575,3693
CY88CD45POS_7_D03_S231_comb,CY88CD45POS,404587,4630
cy88_cd_45_pos_E05_S437_comb,cy88,33599,2352
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_D06_S1002_comb,cy60,36261,2086
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_F09_S549_comb,cy79,17870,2192
CY94CD45POS_1_F05_S161_comb,CY94CD45POS,221542,3904
cy94_cd45pos_4_D06_S42_comb,cy94,915560,4846
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_A05_S965_comb,cy60,56557,2455
cy94_cd45pos_4_G08_S80_comb,cy94,167880,3508
cy80_Cd45_pos_Pd1_neg_S204_A12_S204_comb,cy80,86565,3429
CY94CD45POS_1_B06_S114_comb,CY94CD45POS,218841,5140
Cy74_CD45_C03_S411_comb,Cy74,97564,2451
cy80_Cd45_pos_Pd1_neg_S197_A05_S197_comb,cy80,121948,3804
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_E07_S535_comb,cy79,18521,2290
cy74_CD45_pos_G12_S756_comb,cy74,63229,2724
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C12_S996_comb,cy60,48221,2127
CY89A_CD45_POS_6_G06_S174_comb,CY89A,147130,3824
cy80_CD45_neg_C08_S416_comb,cy80,176877,4519
CY89A_Core_15_C12_S36_comb,CY89A,92750,3507
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_H04_S568_comb,cy79,48778,3121
cy60_1_cd_45_pos_4_E06_S54_comb,cy60,105425,2864
cy60_1_cd_45_pos_4_A10_S10_comb,cy60,65129,2895
CY94CD45POS_1_H05_S185_comb,CY94CD45POS,163729,3657
cy79_p5_CD45_pos_PD1_pos_D09_S621_comb,cy79,147148,3524
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_B03_S495_comb,cy79,28734,2700
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_E04_S532_comb,cy79,16615,2391
CY94CD45POS_1_E02_S146_comb,CY94CD45POS,593341,6052
cy80_Cd45_pos_Pd1_neg_S203_A11_S203_comb,cy80,116061,3734
cy94_cd45pos_4_D07_S43_comb,cy94,403441,4077
CY94CD45POS_1_C01_S121_comb,CY94CD45POS,374646,6301
cy79_p3_CD45_pos_PD1_neg_C11_S131_comb,cy79,174288,2246
cy80_Cd45_pos_Pd1_neg_S276_D12_S276_comb,cy80,44394,2403
cy80_CD45_pos_PD1_pos_E09_S153_comb,cy80,201548,4937
Cy72_CD45_A05_S677_comb,Cy72,176877,2966
cy80_CD45_neg_D07_S427_comb,cy80,302857,4785
cy60_1_cd_45_pos_3_G02_S362_comb,cy60,102803,3017
cy94_cd45pos_4_E10_S58_comb,cy94,404723,4385
CY89A_CD45_POS_10_B11_S215_comb,CY89A,95847,2963
cy94_cd45pos_H04_S184_comb,cy94,310574,3942
CY89A_Core_15_H02_S86_comb,CY89A,142997,3196
cy80_Cd45_pos_Pd1_neg_S275_D11_S275_comb,cy80,76784,3440
cy94_cd45neg_cd90pos_G05_S365_comb,cy94,194174,3384
cy60_1_cd_45_pos_4_E07_S55_comb,cy60,75587,2687
CY94CD45POS_1_A06_S102_comb,CY94CD45POS,48421,2373
cy80_Cd45_pos_Pd1_neg_S241_C01_S241_comb,cy80,102135,3961
cy82_CD45_pos_2_G12_S564_comb,cy82,76896,3194
cy80_CD45_neg_A10_S394_comb,cy80,208943,6848
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G06_S558_comb,cy79,28302,2704
cy80_CD_90_pos_F09_S933_comb,cy80,8235,3002
CY94CD45POS_1_D07_S139_comb,CY94CD45POS,132582,3642
cy94_cd45pos_B06_S114_comb,cy94,476506,5786
cy84_Primary_CD45_pos_G02_S458_comb,cy84,159894,3659
cy79_p4_CD45_pos_PD1_pos_B10_S310_comb,cy79,112109,2640
cy94_cd45pos_4_D08_S44_comb,cy94,2791382,7821
cy60_1_cd_45_pos_3_F03_S351_comb,cy60,141165,3715
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_D02_S998_comb,cy60,60067,2599
cy74_CD45_pos_E07_S727_comb,cy74,29687,2201
cy88_cd_45_pos_B11_S407_comb,cy88,53150,1948
Cy74_CD45_D08_S428_comb,Cy74,104578,2654
cy80_Cd45_pos_Pd1_neg_S339_G03_S339_comb,cy80,20632,2272
cy72_CD45_pos_B06_S882_comb,cy72,84313,3515
cy79_p3_CD45_pos_PD1_neg_E11_S155_comb,cy79,28094,2142
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_C12_S516_comb,cy79,32506,2088
CY89FNA_C06_S222_comb,CY89FNA,79436,2637
cy60_1_cd_45_pos_3_H10_S382_comb,cy60,34165,1975
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_H06_S1050_comb,cy60,67903,2819
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_B01_S973_comb,cy60,83700,2950
cy60_1_cd_45_pos_4_A12_S12_comb,cy60,44136,2767
cy60_1_cd_45_pos_3_F05_S353_comb,cy60,37848,2114
CY89COREQ1_E11_S347_comb,CY89COREQ1,118983,2948
cy84_Primary_CD45_pos_A04_S388_comb,cy84,139667,3493
cy53_1_CD45_neg_G10_S370_comb,cy53,93225,3905
cy60_1_cd_45_pos_3_D05_S329_comb,cy60,52981,2439
CY89COREQ1_C02_S314_comb,CY89COREQ1,251789,4208
cy94_cd45pos_4_C06_S30_comb,cy94,141039,3926
cy60_1_cd_45_pos_3_E08_S344_comb,cy60,116668,3851
cy94_cd45neg_cd90pos_F01_S349_comb,cy94,1762920,5474
Cy72_CD45_G03_S747_comb,Cy72,112674,2321
CY89A_CD45_POS_6_B07_S115_comb,CY89A,80333,2762
cy84_Primary_CD45_pos_A12_S396_comb,cy84,93654,3389
CY94CD45POS_1_G02_S170_comb,CY94CD45POS,580184,8147
cy80_CD45_pos_PD1_pos_E01_S145_comb,cy80,139790,3786
CY89FNA_G05_S269_comb,CY89FNA,102942,2455
